1669015423.0103478,1669015423.0103805,1669015423.0201395,1669015424.8247628,1669015424.8558524,1669015424.8558526
1669015424.8607938,1669015424.8608294,1669015424.8692627,1669015426.6276436,1669015426.6739721,1669015426.6739724
1669015426.6799824,1669015426.6800394,1669015426.68876,1669015428.4126837,1669015428.4369287,1669015428.436929
1669015428.4421487,1669015428.442178,1669015428.4515169,1669015430.1824355,1669015430.1878889,1669015430.187889
1669015430.1966395,1669015430.1966853,1669015430.2061079,1669015432.041201,1669015432.0508173,1669015432.0508173
1669015471.923183,1669015471.9232318,1669015471.930989,1669015473.7219856,1669015473.7265434,1669015473.7265434
1669015473.730829,1669015473.7308638,1669015473.7422798,1669015475.5049963,1669015475.5218334,1669015475.5218334
1669015475.527104,1669015475.5271366,1669015475.5369458,1669015477.2068572,1669015477.2103744,1669015477.2103746
1669015477.216008,1669015477.2160394,1669015477.2277308,1669015479.0277314,1669015479.0371716,1669015479.037172
1669015479.041255,1669015479.0412817,1669015479.0505915,1669015480.804126,1669015480.8224466,1669015480.8224466
